24515,3206,2953,2448,50
27890,4850,2399,2875,51
34004,6140,2687,3053,50
35059,4931,2506,3114,56
40281,7251,2689,3858,53
31964,5610,2670,2939,53
35725,6239,2736,3318,56
36991,5886,2708,3290,64
44414,7570,2947,4053,58
34637,5679,2856,3201,57
32888,5131,2336,2996,60
40215,7201,3195,3372,100
54638,11347,2867,4147,58
33233,6561,2693,3371,56
36196,7459,2725,3396,56
40619,7969,2997,3607,55
43249,7886,2625,3839,56
34678,6609,2680,2955,51
32841,5685,2563,2936,51
37348,6805,2545,3129,49
36978,6245,2653,2965,48
36706,5824,2695,2973,45
32422,5845,2662,2981,48
34471,6002,3007,3059,56
35019,5394,2861,3029,55
35380,4891,2427,2781,47
32744,5504,2638,3087,46
32887,5555,2623,3134,51
34216,5323,2604,3161,51
32265,5010,1984,3078,53
32563,5421,2597,3291,51
28234,4501,2429,2959,48
28506,5068,2262,2585,49
31169,5378,2675,2699,52
29584,4644,2660,2647,51
31493,5323,2861,3103,55
34140,5657,3027,3493,60
31245,5085,3096,3053,59
25851,4153,2573,2970,49
29163,5168,2586,3382,55
33230,5603,2947,3458,56
21511,3097,1444,2086,48
31362,5325,2565,3281,87
29663,5077,2568,3073,56
31952,5707,2906,3279,61
31316,5271,2936,3120,60
30011,4719,2825,3119,58
27155,4488,2687,2799,57
30968,5475,2354,3353,57
33009,5572,2611,3653,55
30476,5233,2919,3347,57
26975,5090,2558,2931,54
33850,6587,3239,3699,53
33738,6222,3054,3758,58
34397,6070,3033,3954,58
30190,5339,2675,3228,56
36829,6804,3094,3932,61
38124,7477,3055,3933,63
35379,6398,2851,3896,58
37867,7048,3228,3757,62
33616,7127,2580,3466,49
44474,11499,3345,4298,63
43148,9270,3398,4296,67
41896,8285,3422,4109,100
36110,6560,2729,3614,68
53343,11272,3759,4964,54
46430,9625,3620,4191,61
44655,8799,3110,4047,60
43359,8114,3047,3843,59
43717,9005,3190,3333,51
45172,9329,3129,3691,51
47178,9488,3465,3959,56
47134,8978,3438,3756,54
44595,8686,3132,3741,45
45807,9178,3147,3958,49
40935,8333,2859,3533,51
46211,10353,3230,3838,52
42677,10208,2784,3628,48
46633,9461,3125,3827,47
43090,8692,2912,3468,52
42543,8373,2756,3825,53
39065,6965,2755,3529,50
40972,7315,2816,4001,53
40131,7717,2865,3826,52
33869,5977,2332,3293,49
36468,6357,2476,3663,49
37706,6356,2701,4025,49
39673,8954,2566,3804,51
42490,11056,2874,3351,50
37529,7023,2819,3525,47
42353,8003,3289,4141,50
43551,8482,3120,4293,45
42925,8285,3154,4352,45
32292,5897,2600,3932,41
40750,7447,2845,4230,45
40473,7212,2594,3948,47
25812,3871,1293,2430,37
43204,8166,3003,4948,45
36340,6035,2630,3910,49
42153,7745,3127,4813,45
40851,7776,2989,4161,51
40030,7085,2872,4168,47
38177,7053,2870,3829,52
34586,6584,2654,3459,40
42631,7971,3262,4190,45
46766,10103,3249,4465,81
42864,9299,2592,4520,74
40053,5064,3271,4342,74
45448,6929,3044,4554,79
48237,10070,3274,4617,82
48836,9994,3214,4789,83
47177,9015,3101,4522,76
48924,9154,3366,4916,70
46886,9063,3147,4567,66
52478,10092,3562,4955,81
41261,6430,2813,4237,92
54290,11166,3800,4847,99
56929,12278,3912,4657,78
49653,9759,3667,4527,76
45646,8731,3014,4000,68
52761,10260,3241,4554,76
51076,10480,3456,4043,76
49614,10311,3053,4610,68
49430,9949,3107,4301,80
50661,10569,3144,4297,71
46861,9436,2912,3853,68
43963,9114,2821,3855,73
51774,12928,3137,4286,75
49783,12768,3032,4080,71
48144,10301,3045,4019,81
49463,10837,3175,3773,66
46459,9451,3179,3849,79
49431,10008,3130,4162,83
46733,9505,3100,4136,79
43388,9598,2450,3621,78
41889,9225,2629,3582,82
33256,6629,2106,3173,71
44723,9208,2906,4354,100
46413,10091,3005,4020,95
46369,10637,2962,3470,78
43659,9583,2892,3777,86
49196,10067,3432,5219,94
46037,8815,3293,5709,92
43788,8425,2967,5225,80
38926,8273,2901,4608,67
50300,11995,3231,4879,88
42533,9243,2695,4027,77
33678,6594,1320,3579,70
46394,9217,3098,4894,84
43988,8421,3043,4494,81
44817,8864,3186,4573,96
44252,8589,3102,4435,91
46156,9178,3161,4468,91
42724,8120,3012,4409,87
42140,7910,2837,4422,84
35193,6560,2649,3761,75
40311,7649,3356,4288,86
43904,8982,3101,4210,84
40410,8426,2600,4330,77
47083,9647,3211,4317,90
